component_identifier,component_type,component_index,primary_fidelity,prediction_agreement_count,prediction_disagreement_count,ground_truth_accuracy_change,cross_entropy_change,mean_kl_divergence,mean_jensen_shannon_divergence,maximum_absolute_logit_change,total_delta_fourier_power,addition_manifold_delta_power,addition_manifold_delta_fraction,correct_shift_rank,correct_shift_selectivity,dominant_canonical_frequency_pair,activation_diagonal_power_fraction,activation_near_constant,retained_at_threshold_0_99,retained_at_threshold_0_975,retained_at_threshold_0_95,retained_at_threshold_0_9,retained_at_threshold_0_85,retained_at_threshold_0_8
N99,mlp_neuron,103,1.0,12769,0,0.0,-6.698588564617693e-06,3.3329539417490713e-06,8.541941105351109e-07,1.8723678588867188,36382.57078565024,103.19767932754037,0.0028364592468062447,1,24.677600333738955,3,0.023720758562645182,False,True,True,True,True,True,False
N100,mlp_neuron,104,1.0,12769,0,0.0,-1.2524465283071488e-06,2.56739173862318e-06,6.510251131968268e-07,1.0360641479492188,12503.36446352936,101.20135598537314,0.008093929940262394,1,33.03804801021258,17,0.06473408809211377,False,False,False,False,False,False,False
N101,mlp_neuron,105,1.0,12769,0,0.0,4.435561558175727e-06,2.8412460884530745e-07,7.182931156493957e-08,0.5609397888183594,2088.0037639327616,5.289741477965758,0.0025333965241530567,1,17.132396894970665,17,0.03251729980478075,False,False,False,False,False,False,False
N102,mlp_neuron,106,1.0,12769,0,0.0,4.935390228578843e-05,8.99429354874591e-05,2.396745465201757e-05,5.479251861572266,803113.3048335634,26737.012350960747,0.03329170640063261,1,85.98266189906082,48,0.11140232332565832,False,True,True,True,True,True,False
N103,mlp_neuron,107,1.0,12769,0,0.0,-1.3258633261461214e-05,7.555061048519297e-07,1.8973052310267372e-07,0.5423965454101562,1626.7490092007608,4.554140865680197,0.0027995350480758525,1,21.652642632135475,17,0.027307386586581515,False,False,False,False,False,False,False
N104,mlp_neuron,108,1.0,12769,0,0.0,7.053114599968346e-05,1.3732505806711726e-05,3.445887439319405e-06,1.8585014343261719,27325.440946175986,310.422638404054,0.011360206007855679,1,32.345692487813274,56,0.0829098589012267,False,False,False,False,False,False,False
N105,mlp_neuron,109,1.0,12769,0,0.0,-2.1634559686407656e-05,1.6628179210521185e-06,4.1677013291911063e-07,0.9913196563720703,12831.059482616274,81.76677033084474,0.0063725657605768,1,45.08152622548618,17,0.03552321812646457,False,False,False,False,False,False,False
N106,mlp_neuron,110,1.0,12769,0,0.0,1.665040135553279e-05,1.2835269693690767e-05,3.2516551544611424e-06,2.309783935546875,114301.47498942645,3207.4722768988913,0.028061512567493997,1,65.57506964851626,56,0.11546966629350758,False,False,False,False,False,False,False
N107,mlp_neuron,111,1.0,12769,0,0.0,2.3170014243656042e-05,6.414370696905189e-06,1.6431769737829649e-06,1.2505836486816406,36282.786557946456,669.2926128774096,0.018446560376736688,1,46.34806879204317,17,0.09388269397951918,False,True,True,True,False,False,False
N108,mlp_neuron,112,1.0,12769,0,0.0,1.2216698248575936e-05,1.2908986531131206e-05,3.4746128360985126e-06,2.046875,122309.74871055334,3940.863824250251,0.032220357459619396,1,85.09839720159358,3,0.11162755944584271,False,True,True,True,True,True,True
N109,mlp_neuron,113,1.0,12769,0,0.0,5.886313104344382e-05,1.8100384503965515e-05,5.1171380068089526e-06,3.0394515991210938,177461.45299556115,4611.908019756329,0.025988224157455123,1,62.3091049130137,1,0.10624123151966659,False,False,False,False,False,False,False
N110,mlp_neuron,114,0.9998433706633253,12767,2,-0.00015662933667470735,0.0002009750274824674,0.0002990024018443252,8.335423785406781e-05,11.841865539550781,3118151.633230158,106390.83737353489,0.03411984081842819,1,76.65003571012784,56,0.12588788705594278,False,True,True,True,True,True,True
N111,mlp_neuron,115,1.0,12769,0,0.0,1.2925404587653747e-07,5.262035686180853e-06,1.3573600072550253e-06,1.8013114929199219,40378.438103453474,820.1443608884339,0.02031144341906303,1,60.20339174685842,56,0.0935701025414668,False,False,False,False,False,False,False
N112,mlp_neuron,116,1.0,12769,0,0.0,7.052564795489145e-05,1.728949377311932e-05,4.6776321861935525e-06,2.594623565673828,85708.26393504915,1149.1548793305742,0.013407748874734166,1,47.62577216564558,1,0.06812777538254323,False,False,False,False,False,False,False
N113,mlp_neuron,117,1.0,12769,0,0.0,2.6586233592619957e-05,1.6607639719058212e-05,4.427693445855714e-06,4.135040283203125,258558.13970445827,6901.7389052647295,0.026693179774396884,1,74.81549150347652,3,0.10209631353420985,False,False,False,False,False,False,False
N114,mlp_neuron,118,1.0,12769,0,0.0,-4.767476963147719e-06,2.9043698010935723e-06,7.099879064399361e-07,1.4244842529296875,32666.22906591977,666.8976343071132,0.02041550718821348,1,62.94213728042715,56,0.086944760478301,False,False,False,False,False,False,False
N115,mlp_neuron,119,1.0,12769,0,0.0,-8.403296521459092e-05,3.52944275665052e-05,8.868886696418098e-06,4.030582427978516,121733.02228167349,1750.8139223547005,0.01438240741533187,1,37.212640439952416,1,0.08291370463311257,False,False,False,False,False,False,False
N116,mlp_neuron,120,1.0,12769,0,0.0,4.8006456076450654e-05,8.015536833079385e-06,1.985635685910068e-06,1.5348854064941406,23814.854490415666,111.0079842340482,0.0046612917277627525,1,32.242766140856666,17,0.033230513934586904,False,False,False,False,False,False,False
N117,mlp_neuron,121,1.0,12769,0,0.0,6.519364288177045e-05,5.479785850017593e-06,1.4031927847567312e-06,1.383514404296875,19640.154165111893,69.92658658708349,0.003560388884894739,1,25.7101803202133,5,0.02859682884851129,False,True,True,True,True,True,False
N118,mlp_neuron,122,1.0,12769,0,0.0,-2.4542168072308468e-05,1.493693142064655e-06,3.6839317300591626e-07,0.5538654327392578,4741.613537674508,8.934769353379924,0.0018843309945841603,1,12.501014267054714,20,0.030561029255335482,False,False,False,False,False,False,False
N119,mlp_neuron,123,0.9998433706633253,12767,2,0.0,0.0005880619546942674,0.0006885802546765016,0.0001847676127704619,9.605506896972656,3888077.033872977,134131.28797656333,0.03449810454062762,1,93.03240232938117,17,0.11165338723369209,False,True,True,True,True,True,True
N120,mlp_neuron,124,1.0,12769,0,0.0,2.868372693999848e-05,9.717591077969891e-06,2.547480930331277e-06,1.228271484375,29119.083508885484,432.2421547760308,0.014843947772055915,1,53.081683228601364,17,0.08067893907236512,False,False,False,False,False,False,False
N121,mlp_neuron,125,1.0,12769,0,0.0,-8.570256669026893e-05,3.805869202924531e-05,9.527537566644106e-06,2.858736991882324,93550.04979420139,1308.4370904884313,0.01398649272092139,1,54.43838834355596,20,0.06281188861213989,False,False,False,False,False,False,False
N122,mlp_neuron,126,1.0,12769,0,0.0,-3.5117990043718756e-06,6.123153520916143e-07,1.5529782625688653e-07,0.6432008743286133,3544.3206306596617,14.755056262972259,0.004163013959667097,1,21.73372280098548,3,0.038964260835387114,False,False,False,False,False,False,False
N123,mlp_neuron,127,0.9998433706633253,12767,2,0.0,6.369593786693223e-05,6.793827739564843e-05,1.847541848913803e-05,4.4989013671875,535005.205472521,17185.226099177315,0.032121605403818795,1,79.07205970571353,56,0.11618886351576287,False,False,False,False,False,False,False
N124,mlp_neuron,128,1.0,12769,0,0.0,-3.274798383256106e-05,1.2200465717343426e-05,3.0762427195963835e-06,3.230804443359375,117256.82173561046,736.9739373864596,0.006285126327644982,1,33.945720520038776,3,0.0423082556088793,False,False,False,False,False,False,False
N125,mlp_neuron,129,1.0,12769,0,0.0,3.450413926991752e-05,1.6761668973574823e-05,4.388395713187155e-06,2.9485034942626953,87200.3889266768,526.0343255368592,0.006032476827358875,1,22.684611172809515,56,0.05326557369165271,False,False,False,False,False,False,False
N126,mlp_neuron,130,0.9999216853316626,12768,1,-7.831466833740919e-05,0.00018315125612615858,6.378226662851169e-05,1.624978345927906e-05,2.90667724609375,261239.71964256887,7654.384202719859,0.029300231271081875,1,86.55483681890779,56,0.1112031214534141,False,False,False,False,False,False,False
N127,mlp_neuron,131,1.0,12769,0,0.0,5.718559949503322e-05,1.4868071065732415e-05,3.96353957900129e-06,2.7293548583984375,181771.83888619626,5024.88949483369,0.027643938277918143,1,75.72245981645072,3,0.1047225964649039,False,False,False,False,False,False,False
N128,mlp_neuron,132,1.0,12769,0,0.0,7.458566226423071e-06,3.5813057360308485e-06,9.289369400469796e-07,1.5842857360839844,55902.533654847764,1977.802944588726,0.03537948667586401,1,74.33178016326787,48,0.13125573192584267,False,False,False,False,False,False,False
N129,mlp_neuron,133,0.9998433706633253,12767,2,0.0,8.271127644616572e-05,0.00016603539135933297,4.256960632555827e-05,6.6190185546875,1508189.1613263085,46658.79282353938,0.030936963359760136,1,85.66150589626906,56,0.10789728981906958,False,False,False,False,False,False,False
N130,mlp_neuron,134,1.0,12769,0,0.0,5.294866416738356e-05,2.800870429304401e-05,7.517157139737866e-06,4.2412261962890625,283566.4663254824,5492.8281655156015,0.019370513857625324,1,45.3780548880642,17,0.10258512065700677,False,True,False,False,False,False,False
N131,mlp_neuron,135,1.0,12769,0,0.0,4.46806728550003e-05,2.3369223699008006e-05,5.899063285974607e-06,2.179595947265625,136803.03652970755,3400.6562352069836,0.024858046440135208,1,80.15612508641634,56,0.10311783893516353,False,False,False,False,False,False,False
N132,mlp_neuron,136,1.0,12769,0,0.0,7.596587111289178e-06,1.6601795855763953e-05,4.363286599896225e-06,3.3898468017578125,181682.11217462088,3787.409922752413,0.020846355634132015,1,69.32257613382714,48,0.0831265784301332,False,False,False,False,False,False,False
N133,mlp_neuron,137,1.0,12769,0,0.0,-1.1660626225470493e-06,8.142495081159084e-06,1.9377318285375054e-06,2.251728057861328,53459.833800630455,460.0979111531215,0.008606422400581716,1,43.87950194635116,3,0.04466799513086182,False,False,False,False,False,False,False
N134,mlp_neuron,138,0.9999216853316626,12768,1,0.0,0.00035580054655961666,0.0002890957999827714,8.980291329891682e-05,10.03982925415039,2162218.6794261676,70188.92084440762,0.032461527371059014,1,89.17742172891734,3,0.10843090938825144,False,True,True,True,True,True,True
N135,mlp_neuron,139,1.0,12769,0,0.0,9.699613995055268e-06,5.068632755335326e-06,1.2880571024351458e-06,2.3207969665527344,30711.277373257082,76.26360970079422,0.002483244469902884,1,14.65512925104843,1,0.03041390684382379,False,False,False,False,False,False,False
N136,mlp_neuron,140,1.0,12769,0,0.0,-1.3899872267890455e-05,3.6707155863673004e-06,9.394671019621126e-07,1.292388916015625,14674.961423573957,31.927507666948124,0.002175645083172727,1,16.489115862927296,1,0.024227679038107377,False,False,False,False,False,False,False
N137,mlp_neuron,141,1.0,12769,0,0.0,-1.0688908806181152e-05,9.534968690736439e-06,2.374535124397248e-06,1.1210250854492188,12732.450517318364,113.42696588139081,0.008908494537411339,1,33.22525852271181,20,0.05942568284447807,False,False,False,False,False,False,False
N138,mlp_neuron,142,1.0,12769,0,0.0,4.159529906608045e-05,1.9626750783205623e-05,5.7620871639786335e-06,3.2861366271972656,274013.5744619604,7841.469046858497,0.02861708242832721,1,81.27607402411473,3,0.10142794730032388,False,False,False,False,False,False,False
N139,mlp_neuron,143,1.0,12769,0,0.0,1.5252506195371314e-05,1.9599381669046335e-06,4.959265587456999e-07,0.8630905151367188,9897.906220666511,51.11176469150648,0.00516389664157322,1,36.17219620310371,3,0.03521923693511018,False,True,True,False,False,False,False
N140,mlp_neuron,144,1.0,12769,0,0.0,-1.4192339408239905e-05,1.4463628185371934e-06,3.5866714047932395e-07,1.1485595703125,5732.131286088193,22.13294810208354,0.0038612074632344714,1,15.772083126802256,17,0.04286379406261948,False,False,False,False,False,False,False
N141,mlp_neuron,145,1.0,12769,0,0.0,1.214582841009928e-05,2.925931094425367e-05,7.503997160097679e-06,4.977485656738281,581760.5158083001,18570.369876540706,0.03192098702459889,1,89.609042109424,17,0.10844458152105971,False,False,False,False,False,False,False
N142,mlp_neuron,146,1.0,12769,0,0.0,0.0001336433321890288,3.604170628718144e-05,9.51560748236772e-06,3.888458251953125,318205.8347742667,8991.190983142975,0.02825589602881189,1,83.93282313598242,56,0.10416156243081304,False,False,False,False,False,False,False
N143,mlp_neuron,147,1.0,12769,0,0.0,0.000172142996592816,6.303055285889468e-05,1.6999175718775306e-05,5.253620147705078,1136498.651135047,30418.66726153718,0.026765247130876368,1,75.47097984455904,56,0.10302246916643618,False,False,False,False,False,False,False
N144,mlp_neuron,148,1.0,12769,0,0.0,5.51946582137391e-05,2.1584299645681618e-05,5.91378661009902e-06,7.11553955078125,281949.2932297585,1805.8622342616736,0.006404918464505918,1,26.04623328966488,1,0.0479908093953234,False,True,False,False,False,False,False
N145,mlp_neuron,149,1.0,12769,0,0.0,-3.1352729499159546e-06,6.277160666766624e-06,1.5502075589095799e-06,1.223541259765625,20630.964869196345,202.8011113218762,0.009829938280040126,1,40.55681460622513,20,0.056648533440631456,False,False,False,False,False,False,False
N146,mlp_neuron,150,1.0,12769,0,0.0,3.1087614523632456e-05,1.0942751769602817e-05,2.5353981774111057e-06,2.2410545349121094,61369.38536721893,463.3003274565912,0.007549372128860651,1,26.94093735087926,56,0.056101811490118884,False,False,False,False,False,False,False
N147,mlp_neuron,151,1.0,12769,0,0.0,3.0805359959705774e-05,6.473865067025175e-06,1.6375412666107857e-06,1.8774948120117188,50170.46213159659,166.57229143854929,0.0033201267112435984,1,18.310261058668335,48,0.037520162166033995,False,False,False,False,False,False,False
N148,mlp_neuron,152,1.0,12769,0,0.0,0.00011953709516090744,3.261527701737298e-05,8.866019760195937e-06,3.5855865478515625,198843.720799029,3466.412851568433,0.017432850469902093,1,65.77028807168315,3,0.07056306213965319,False,False,False,False,False,False,False
N149,mlp_neuron,153,1.0,12769,0,0.0,2.7303095754090644e-05,3.902624293911189e-06,9.988032072630725e-07,2.174102783203125,27697.349417476125,55.43326814852049,0.002001392527241033,1,11.063345258260796,48,0.031542212202854816,False,False,False,False,False,False,False
N150,mlp_neuron,154,1.0,12769,0,0.0,-7.048790286396408e-05,0.00010128041367101103,2.8360053162977567e-05,6.607208251953125,1085462.4349948466,40725.243251573986,0.03751879561982938,1,79.36228639718229,56,0.12942504275195793,False,False,False,False,False,False,False
N151,mlp_neuron,155,1.0,12769,0,0.0,-1.4086182064161883e-05,1.2126119891882889e-06,3.0448477616916164e-07,0.9778633117675781,9266.856470581184,17.094449628570413,0.0018446869963767022,1,16.74326846569289,3,0.021579092794293073,False,False,False,False,False,False,False
N152,mlp_neuron,156,0.9996867413266505,12765,4,-0.00031325867334952573,0.00047690605266489266,0.00043836028448901123,0.00012652310093346584,8.66552734375,3166975.500125906,100180.39381395845,0.031632828801478156,1,84.01083670486796,56,0.11140747814574113,False,True,True,True,True,True,True
N153,mlp_neuron,157,1.0,12769,0,0.0,-2.5995760604728083e-06,1.7906885400694775e-06,4.518899814443855e-07,0.9248771667480469,6025.971908493295,14.712563745727532,0.0024415254450474515,1,19.170206048871766,5,0.026440777681212,False,False,False,False,False,False,False
N154,mlp_neuron,158,1.0,12769,0,0.0,-3.868939999183713e-07,3.4697904352212682e-06,8.755917050393419e-07,1.4307632446289062,28826.35050978895,413.19567262684495,0.014333957137117671,1,50.187805102371165,3,0.0700503628825231,False,False,False,False,False,False,False
N155,mlp_neuron,159,1.0,12769,0,0.0,7.190887772675161e-05,2.8110086751578364e-05,7.737157809379233e-06,5.291110992431641,514858.86655904644,16425.16301687983,0.03190226309329008,1,89.63471543558691,3,0.10815919349796976,False,False,False,False,False,False,False
N156,mlp_neuron,160,1.0,12769,0,0.0,-2.4622004967688122e-05,1.8970871412857549e-06,4.798103146039474e-07,2.0671730041503906,18965.165709961908,30.09735455806431,0.0015869808373071559,1,11.389240101675458,3,0.02434964550734609,False,False,False,False,False,False,False
N157,mlp_neuron,161,1.0,12769,0,0.0,0.00010911944007962961,7.442464741413148e-05,2.186983843162618e-05,6.272212982177734,638292.5890342186,15922.241754362733,0.024945051889846005,1,71.04165941284435,48,0.09834630570024439,False,False,False,False,False,False,False
N158,mlp_neuron,162,1.0,12769,0,0.0,-4.456833562355763e-06,8.852366757642135e-06,2.205762076857262e-06,1.9209709167480469,37384.628579895885,420.8001227247206,0.011255966388041418,1,39.73979650784182,56,0.066645374758021,False,False,False,False,False,False,False
N159,mlp_neuron,163,1.0,12769,0,0.0,5.453422841626742e-05,9.587196836233209e-06,2.415111394449881e-06,1.3784332275390625,39514.66996473559,438.41644008735204,0.011095029782068576,1,43.88914872404463,3,0.0655797906643277,False,True,True,True,False,True,True
N160,mlp_neuron,164,1.0,12769,0,0.0,4.230982862326693e-05,7.635579194141293e-06,2.0812180503725214e-06,2.407550811767578,115782.1962845301,3252.459737391052,0.028091190543650273,1,81.54375362591956,3,0.10227860971531565,False,False,False,False,False,False,False
N161,mlp_neuron,165,1.0,12769,0,0.0,8.057931594708761e-05,0.00016964700542907183,4.7725206453664936e-05,12.834503173828125,3666472.623488718,134083.3860955358,0.036570131530929834,1,86.9076603716647,56,0.12426071974091457,False,False,False,False,False,False,False
N162,mlp_neuron,166,0.9981987626282403,12746,23,-0.0016446080350849268,0.003996458937031566,0.0037208386470636737,0.0009778969969964466,11.314064025878906,3927250.902157152,153892.94280069854,0.03918592079669994,1,95.46094712053178,3,0.127963129830184,False,True,True,True,True,True,True
N163,mlp_neuron,167,1.0,12769,0,0.0,2.6839727795508828e-05,2.987436382996549e-05,7.6232523367954785e-06,5.807659149169922,324114.47899594245,7288.26506251174,0.022486700023675837,1,74.12383689001148,3,0.08466332374088463,False,False,False,False,False,False,False
N164,mlp_neuron,168,0.9999216853316626,12768,1,7.831466833740919e-05,3.6401277792646666e-05,8.889245994132423e-05,2.2776979385080485e-05,4.922954559326172,843444.1446998313,22763.523226801004,0.026988773791182332,1,72.18242429125998,56,0.10552760108615515,False,False,False,False,False,False,False
N165,mlp_neuron,169,1.0,12769,0,0.0,-1.1934144867461246e-05,1.3267157718989458e-05,3.4451922184622665e-06,2.7938995361328125,56091.49740910304,129.03612599072605,0.0023004578581598874,1,9.157508924593714,17,0.042935809090490086,False,False,False,False,False,False,False
N166,mlp_neuron,170,1.0,12769,0,0.0,8.596829090206249e-06,1.3221970147551631e-05,3.4126985081272977e-06,1.8360671997070312,117554.59930588488,2732.497666131198,0.023244498150353586,1,61.910726323451684,1,0.09978856185653319,False,True,True,True,False,False,False
N167,mlp_neuron,171,1.0,12769,0,0.0,3.522876295588488e-05,8.571386130227491e-06,2.269796854754631e-06,2.6255874633789062,175325.79534154027,4630.653704442768,0.026411707960155583,1,67.4074832856373,56,0.10695560153443862,False,False,False,False,False,False,False
N168,mlp_neuron,172,1.0,12769,0,0.0,-1.966817805656041e-06,8.300650106744626e-07,2.0910473205929291e-07,0.991546630859375,4616.476601618924,2.5770240317959052,0.0005582231329607918,1,8.071534458643665,17,0.012916763301582089,False,False,False,False,False,False,False
N169,mlp_neuron,173,1.0,12769,0,0.0,-4.582771302248569e-06,1.742581833966078e-06,4.393547691156354e-07,1.5027885437011719,19219.43446584525,19.32816405788422,0.0010056572732268575,1,11.105558248149846,56,0.018043260466430344,False,False,False,False,False,False,False
N170,mlp_neuron,174,0.9998433706633253,12767,2,-0.00015662933667470735,0.00017834980584749698,0.00018259636763965316,4.771364845547933e-05,3.9263134002685547,447642.32191831263,14954.775245166622,0.03340786720317214,1,81.29599425461998,1,0.1139268412510519,False,False,False,False,False,False,False
N171,mlp_neuron,175,1.0,12769,0,0.0,-4.309769050675439e-06,3.288824967432562e-06,8.49834539683316e-07,1.3487014770507812,8789.09679921082,3.612641171876423,0.0004110366803788991,1,7.189005127590336,5,0.009936839135932579,False,True,False,True,False,False,False
N172,mlp_neuron,176,0.9998433706633253,12767,2,-0.00015662933667470735,0.00014490841117041782,0.0003141727088221837,8.959841416122848e-05,14.104682922363281,3348303.1267423644,112436.35563432104,0.033580100539974934,1,74.3061582895216,56,0.1254323936876995,False,True,True,True,True,True,True
N173,mlp_neuron,177,1.0,12769,0,0.0,1.2466656446315314e-06,3.792970662137849e-06,9.589814859713072e-07,1.3371429443359375,24467.86917969465,109.28092168500034,0.004466303170187381,1,22.880304508607438,56,0.03943054865222405,False,False,False,False,False,False,False
N174,mlp_neuron,178,1.0,12769,0,0.0,-6.774735719581584e-06,2.409626429444926e-06,6.017364361396883e-07,1.3111305236816406,14674.32034971026,192.3142015395789,0.01310549292617672,1,39.53988678941071,1,0.07804204261230549,False,False,False,False,False,False,False
N175,mlp_neuron,179,1.0,12769,0,0.0,-2.158895794631332e-06,4.933552329653353e-06,1.2300705077423834e-06,2.607379913330078,67983.35329772161,269.37351652169457,0.003962345242695205,1,19.266366169181797,56,0.041293509364803374,False,False,False,False,False,False,False
N176,mlp_neuron,180,1.0,12769,0,0.0,6.916724634007678e-05,1.2309837066189399e-05,3.0119020416063943e-06,0.9324951171875,9027.115504515305,16.89654309048145,0.0018717543917578002,1,13.00423198607879,20,0.025518699911881774,False,False,False,False,False,False,False
N177,mlp_neuron,181,1.0,12769,0,0.0,9.505723150426385e-05,7.798815139922576e-05,2.1706710357394684e-05,7.735813140869141,1103423.1386166778,29034.00826515224,0.026312669409444447,1,74.24618342423571,17,0.10009961870093793,False,True,True,True,True,True,True
N178,mlp_neuron,182,1.0,12769,0,0.0,-1.1925842230866516e-05,8.472819649566598e-07,2.133502963437443e-07,0.8407478332519531,5204.58427598038,2.567889089303391,0.0004933898565452053,1,6.452889230189179,56,0.013210079146825428,False,False,False,False,False,False,False
N179,mlp_neuron,183,1.0,12769,0,0.0,0.00012929374862903176,9.760407469920317e-05,3.0232852112863378e-05,5.3950605392456055,821405.491555525,28458.713655014442,0.03464636400363133,1,92.66435778106049,48,0.11454241830428966,False,False,False,False,False,False,False
N180,mlp_neuron,184,0.9998433706633253,12767,2,7.831466833740919e-05,-0.00013998988586197024,9.781710957043503e-05,2.382188914931762e-05,5.2800750732421875,324950.59660895844,4606.718405744011,0.014176673173761485,1,47.900649013049296,48,0.06461866786093125,False,False,False,False,False,False,False
N181,mlp_neuron,185,1.0,12769,0,0.0,4.056772410651827e-06,1.5216073781604578e-05,3.956583399806546e-06,3.6669540405273438,360631.7501470853,9417.223706649007,0.026113129814022615,1,69.64609096827441,17,0.10196113972545306,False,False,False,False,False,False,False
N182,mlp_neuron,186,1.0,12769,0,0.0,5.5325394905861866e-05,4.121221705333308e-05,1.1587887828781817e-05,4.140983581542969,483660.0831885184,13993.185330330438,0.028931858999156335,1,86.81199810065989,48,0.10169256715788672,False,False,False,False,False,False,False
N183,mlp_neuron,187,0.9999216853316626,12768,1,-7.831466833740919e-05,0.0002705671406381565,0.00017758207010913542,5.300755968411317e-05,7.9268646240234375,1524258.2765258327,52351.37287295509,0.034345473912909964,1,92.23149829197061,17,0.11435787667502402,False,True,True,True,True,True,True
N184,mlp_neuron,188,1.0,12769,0,0.0,8.12179552308603e-06,4.0687486784025315e-06,1.0402261672221066e-06,2.0377731323242188,46978.97626539705,103.75477765139597,0.002208536368805845,1,17.923481749328793,17,0.02471609255062231,False,True,True,True,True,True,True
N185,mlp_neuron,189,1.0,12769,0,0.0,-4.116312363374244e-05,8.448972631232832e-06,2.1034622955469643e-06,2.1841773986816406,35657.05064773532,88.03150291788322,0.002468838597661031,1,12.38236895632553,17,0.03813849220513098,False,False,False,False,False,False,False
N186,mlp_neuron,190,0.9999216853316626,12768,1,7.831466833740919e-05,-5.395009927489504e-05,7.0120440245279205e-06,1.7781795025413004e-06,1.8860626220703125,36915.35737156997,58.819003807194974,0.00159334780956215,1,11.208047551906061,20,0.024854121712230268,False,False,False,False,False,False,False
N187,mlp_neuron,191,1.0,12769,0,0.0,-1.5442793262235473e-05,2.0863163905135453e-06,5.207976366945214e-07,2.1252212524414062,20996.80079191893,81.73767194500928,0.0038928631440113383,1,25.76826279140491,56,0.033659139849986454,False,True,False,False,False,False,False
N188,mlp_neuron,192,1.0,12769,0,0.0,1.0204105853230897e-05,1.1556511060560857e-06,2.9228750723983795e-07,0.8745841979980469,6597.808532992092,5.53825964205081,0.0008394089665313796,1,7.710347191324065,17,0.021722218609208723,False,False,False,False,False,False,False
N189,mlp_neuron,193,1.0,12769,0,0.0,6.439345675025138e-05,2.396644006307807e-05,6.159491694722945e-06,2.3929710388183594,147461.40143050347,2792.4332390950685,0.018936706229603438,1,54.16021106479724,1,0.08953100559841705,False,False,False,False,False,False,False
N190,mlp_neuron,194,1.0,12769,0,0.0,1.1340711010609421e-05,3.4933867568867064e-06,8.956294002083477e-07,1.9426116943359375,43130.87280668935,385.40633691743335,0.008935741658760474,1,31.323157538485667,48,0.061324333166898344,False,False,False,False,False,False,False
N191,mlp_neuron,195,1.0,12769,0,0.0,-8.818352824271599e-06,2.290795770142234e-06,5.769245401188402e-07,3.956207275390625,24199.168978425372,17.33996180780214,0.0007165519536336757,1,9.091974777167103,3,0.013924616144442287,False,False,False,False,False,False,False
N192,mlp_neuron,196,1.0,12769,0,0.0,-3.843109197989962e-07,9.123254358515914e-07,2.338656905230461e-07,0.9742164611816406,14450.11998574009,114.84970518453567,0.007948010486962986,1,33.398101629826265,3,0.05497766433151118,False,True,False,False,False,False,False
N193,mlp_neuron,197,1.0,12769,0,0.0,4.426696972049818e-06,2.7773405815693554e-06,6.798279445256704e-07,1.1202011108398438,17553.766160113802,125.9071278825113,0.007172656097504664,1,37.694647587160105,56,0.05068326248973958,False,False,False,False,False,False,False
N194,mlp_neuron,198,1.0,12769,0,0.0,1.7777083275026702e-05,2.601280848474742e-06,6.544270591087196e-07,0.9832649230957031,6576.068457223819,13.96385149116443,0.002123434629976384,1,12.3825055983186,17,0.03377319752009015,False,False,False,False,False,False,False
N195,mlp_neuron,199,1.0,12769,0,0.0,0.00025407179815022736,0.00011079037059245032,2.9605784286444483e-05,3.89764404296875,181753.058135612,3689.841886472115,0.02030140193690167,1,61.609301576897046,20,0.07861497928837015,False,False,False,False,False,False,False
N196,mlp_neuron,200,1.0,12769,0,0.0,1.194056312855702e-05,1.8856156068899384e-06,4.7282383020110615e-07,0.8707828521728516,6251.813765527673,9.886118023122206,0.001581319980712475,1,7.7054063241908075,3,0.034178079385802036,False,False,False,False,False,False,False
N197,mlp_neuron,201,1.0,12769,0,0.0,-6.354423211836643e-05,2.069700579324357e-05,5.682423095254404e-06,3.6781463623046875,296333.729679594,8642.589341944898,0.029165054384087688,1,74.92886677342763,48,0.10979477991404595,False,False,False,False,False,False,False
N198,mlp_neuron,202,0.9999216853316626,12768,1,7.831466833740919e-05,-1.5386545986912628e-05,4.276530816105233e-05,1.1168214172827086e-05,4.1002044677734375,128832.88253321822,688.7401339151302,0.005345996459696892,1,21.663942233143462,48,0.048509094306705074,False,False,False,False,False,False,False
N199,mlp_neuron,203,0.9998433706633253,12767,2,7.831466833740919e-05,0.00022795731896582835,0.0004115229861636714,0.00011972647654013698,8.60260009765625,1431214.7869921098,45847.96742401919,0.03203430249653502,1,68.99300014137886,1,0.11873184540128785,False,True,True,True,True,True,True
N200,mlp_neuron,204,1.0,12769,0,0.0,-8.14539180622471e-05,8.322678996607773e-05,2.2106789438091193e-05,5.333965301513672,656985.3748714451,17866.81935563982,0.02719515538551507,1,61.703461483414515,48,0.11262885583187071,False,False,False,False,False,False,False
N201,mlp_neuron,205,1.0,12769,0,0.0,0.000177278224678947,6.337751567533437e-05,1.629492088443626e-05,6.344963073730469,863843.6034530688,27402.4799270244,0.03172157531466069,1,86.43510744051198,3,0.10780807167902288,False,True,True,True,True,True,True
N202,mlp_neuron,206,1.0,12769,0,0.0,8.313553623458757e-05,5.896502336765838e-05,1.6612352110704275e-05,8.110603332519531,1183400.5884279825,38121.38889214352,0.03221342735918662,1,74.97898198641474,56,0.11491279168546958,False,False,False,False,False,False,False
N203,mlp_neuron,207,1.0,12769,0,0.0,8.965285751407859e-05,1.5193774905187088e-05,3.790931414809494e-06,2.125995635986328,90892.71673860247,2275.7949322051527,0.025038254041301135,1,68.82034295056727,3,0.09864203286739835,False,False,False,False,False,False,False
